score_value;pixel_count;share_percent
113;30;0.0423
117;106;0.1495
118;146;0.2059
119;973;1.3723
120;1158;1.6332
121;850;1.1988
122;2011;2.8363
124;324;0.457
125;327;0.4612
126;353;0.4979
127;572;0.8067
128;963;1.3582
129;3078;4.3411
130;105;0.1481
131;3524;4.9702
132;2117;2.9858
133;1784;2.5161
134;2076;2.9279
135;694;0.9788
136;2064;2.911
137;4376;6.1718
138;4527;6.3848
139;2281;3.2171
140;736;1.038
141;2292;3.2326
142;5557;7.8375
143;2184;3.0803
144;459;0.6474
145;1915;2.7009
146;2360;3.3285
147;166;0.2341
148;795;1.1213
149;2629;3.7079
150;114;0.1608
151;3335;4.7036
152;1744;2.4597
155;72;0.1015
156;1188;1.6755
157;3351;4.7262
158;185;0.2609
159;92;0.1298
160;1603;2.2608
161;51;0.0719
162;50;0.0705
163;857;1.2087
164;2389;3.3694
166;1034;1.4583
167;470;0.6629
169;73;0.103
171;41;0.0578
172;39;0.055
174;58;0.0818
176;268;0.378
180;11;0.0155
181;162;0.2285
182;37;0.0522
192;20;0.0282
201;127;0.1791
