score_value;pixel_count;share_percent
108;30;0.0423
110;79;0.1114
111;27;0.0381
112;484;0.6826
113;1531;2.1593
114;937;1.3215
115;1583;2.2326
116;603;0.8505
117;107;0.1509
118;544;0.7672
119;117;0.165
120;227;0.3202
121;1544;2.1776
122;3071;4.3313
123;94;0.1326
124;3542;4.9956
125;2117;2.9858
126;2173;3.0648
127;1687;2.3793
128;2758;3.8898
129;581;0.8194
130;3795;5.3524
131;4527;6.3848
132;2825;3.9843
133;874;1.2327
134;6960;9.8162
135;2248;3.1705
136;290;0.409
137;312;0.44
138;3168;4.4681
139;1107;1.5613
141;574;0.8096
142;3116;4.3947
143;107;0.1509
144;4459;6.2889
145;527;0.7433
148;17;0.024
149;1060;1.495
150;3534;4.9843
151;185;0.2609
153;1695;2.3906
155;101;0.1424
156;857;1.2087
157;2389;3.3694
159;1022;1.4414
160;482;0.6798
163;73;0.103
165;41;0.0578
166;27;0.0381
167;12;0.0169
168;58;0.0818
169;268;0.378
174;11;0.0155
175;143;0.2017
176;19;0.0268
177;37;0.0522
187;20;0.0282
195;127;0.1791
