score_value;pixel_count;share_percent
118;30;0.0423
122;79;0.1114
123;173;0.244
124;4;0.0056
125;506;0.7137
126;1649;2.3257
127;760;1.0719
128;1287;1.8152
129;786;1.1086
131;324;0.457
132;327;0.4612
133;9;0.0127
134;133;0.1876
135;227;0.3202
136;1526;2.1522
137;2874;4.0534
138;342;0.4823
139;1238;1.746
140;4329;6.1055
141;34;0.048
142;1784;2.5161
143;917;1.2933
144;3092;4.3609
145;979;1.3808
146;4222;5.9546
147;114;0.1608
148;7238;10.2083
149;192;0.2708
150;4288;6.0477
151;3472;4.8968
152;2248;3.1705
153;544;0.7672
154;1923;2.7122
155;2458;3.4667
157;356;0.5021
158;3161;4.4582
159;703;0.9915
160;1721;2.4273
161;2676;3.7742
163;72;0.1015
165;1188;1.6755
166;3351;4.7262
167;277;0.3907
168;51;0.0719
169;1603;2.2608
170;50;0.0705
171;29;0.0409
172;1875;2.6445
173;1342;1.8927
174;12;0.0169
175;1492;2.1043
177;73;0.103
178;41;0.0578
180;39;0.055
183;58;0.0818
185;268;0.378
188;11;0.0155
190;162;0.2285
191;37;0.0522
201;20;0.0282
211;127;0.1791
