score_value;pixel_count;share_percent
106;30;0.0423
108;96;0.1354
109;494;0.6967
110;1531;2.1593
111;1583;2.2326
112;1508;2.1268
113;135;0.1904
114;331;0.4668
115;444;0.6262
116;680;0.9591
117;1452;2.0479
118;2694;3.7996
119;3535;4.9857
120;2043;2.8814
121;1791;2.526
122;2088;2.9449
123;1735;2.447
124;3761;5.3044
125;2520;3.5542
126;5988;8.4453
127;544;0.7672
128;7055;9.9502
129;3027;4.2692
130;25;0.0353
131;577;0.8138
132;2948;4.1578
133;138;0.1946
134;1189;1.6769
135;795;1.1213
136;2827;3.9871
137;43;0.0606
138;1548;2.1833
139;3043;4.2918
140;527;0.7433
142;17;0.024
143;1005;1.4174
144;3706;5.2269
146;68;0.0959
147;1695;2.3906
149;857;1.2087
150;1148;1.6191
151;1342;1.8927
153;1025;1.4456
154;467;0.6586
155;12;0.0169
158;73;0.103
159;41;0.0578
160;85;0.1199
161;12;0.0169
162;268;0.378
166;11;0.0155
167;143;0.2017
169;19;0.0268
171;37;0.0522
181;20;0.0282
188;127;0.1791
