score_value;pixel_count;share_percent
113;30;0.0423
115;79;0.1114
116;27;0.0381
117;484;0.6826
118;635;0.8956
119;1073;1.5133
120;2132;3.0069
121;814;1.148
123;651;0.9182
125;353;0.4979
126;572;0.8067
127;963;1.3582
128;3183;4.4892
129;1238;1.746
130;4369;6.1619
131;34;0.048
132;2235;3.1522
133;3404;4.8009
134;979;1.3808
135;4376;6.1718
136;4527;6.3848
137;2825;3.9843
138;874;1.2327
139;3219;4.54
140;3830;5.4017
141;2751;3.8799
142;10;0.0141
143;2948;4.1578
144;1327;1.8716
145;98;0.1382
146;863;1.2172
147;2729;3.8489
148;107;0.1509
149;3835;5.4088
150;1151;1.6233
153;72;0.1015
154;1196;1.6868
155;3411;4.8108
156;117;0.165
157;92;0.1298
158;1603;2.2608
159;101;0.1424
160;29;0.0409
161;828;1.1678
162;2389;3.3694
164;1022;1.4414
165;482;0.6798
168;73;0.103
169;41;0.0578
171;39;0.055
173;58;0.0818
174;268;0.378
178;11;0.0155
179;143;0.2017
180;19;0.0268
181;37;0.0522
191;20;0.0282
199;127;0.1791
